S.No,Comments,Label,Unnamed: 3
HATE_3018,chaMdrabAbu shivuDu lAMTi vADu viShAnni kUDA tanaloki tIsukuMTADuika ilAMTivi òka lèkke kAdu,non-hate,
HATE_3019,Poyakalam deggara padinappudu alage chestharu,hate,
HATE_3020,Bgm tho goosebumps tepinchadu,non-hate,
HATE_3021,"OM jai bolo gaNeSh mahArAju ke jai
OM namo brahmA namo viShNu namo namaH Jai Hind jai shrI rAm",non-hate,
HATE_3022,Excellent ShAT  goose bumps jai shrI kRRiShNa,non-hate,
HATE_3023,Ennisarlu chusina chudalanipinche great scene idi,non-hate,
HATE_3024,marade tèlisi tèlisi nippullo chetulu pèTTaDaM aMTe,hate,
HATE_3025,Vadiki scene lekunna cinema teesinpellam pillala life nashanam chesaduvadini pogadaksina anta scene leduvalla family interview lo enta badha paddari chuste ee elevation undadu,hate,
HATE_3026,Avasaram a vadiki,hate,
HATE_3027,Pasaleni personality dhanraj thana comedy kuda em bagundadu,hate,
HATE_3028,Dhanraj  idi Edo Theda ga undi ee ,hate,
HATE_3029,hero ipodham industry ni yeledham ante last ki bokka ipotham,hate,
HATE_3030,unde money tho manchi mirror konukunivunte intha money loss chesundevadika,hate,
HATE_3031,Veedu Aids patient la untadu hero enti ma karma,hate,
HATE_3032,Erripuvvu panulu,hate,
HATE_3033,Ami parvaldhuvedu pedha bokka,hate,
HATE_3034,Niv hero entra lafoot gs,hate,
HATE_3035,Painleni producers ki panileni nastalu ,hate,
HATE_3036,eMdi ammaDu gòMtu vaNukutuMdi musaldAniki malle aMte taggedi ledu jaganmohan rèDDi jaillo vestADu,hate,
HATE_3037,siguMDAli kUsiMta ChI ChI eM batukule mIyi,hate,
HATE_3038,Thanks talli Koncham naalika mandam laaga undhi,hate,
HATE_3039,orImInòTlo purugulu paDAnoTi kyAnsar vachchi potAru,hate,
HATE_3040,I ammAyi siggu lekuMDA iMkA kAvariMg òkaTi,hate,
HATE_3041,Waste gaadu jagan   ma dabbulu anavasaraM gA karchu chestunnADu,hate,
HATE_3042,Okkasari chance ivvandi Chala manchi manishi CM Kavali Jai Janasena,non-hate,
HATE_3043,Rastam bagunddali ante pawankalyan cm khavali rastam bagupaduthundhi,non-hate,
HATE_3044,Correct ga cheppav anna ee vedhavalaki intha alochana ledu em chestham,hate,
HATE_3045,Poor people ki middle class varu happy ga brathakavachu,non-hate,
HATE_3046,Ha bokkale veedu vadi babu lage,hate,
HATE_3047,Bokka laga vundhi movie two nd half lekapothe movie oka sari kuda chudalem,hate,
HATE_3048,Sollu cinema oka move ayina oka splist boxer move ayinatu unda baddakam punch lu lazyy moves ,hate,
HATE_3049,One more flop hero part of Nepotism Gang,hate,
HATE_3050,Chala manchi Pani chesaru,non-hate,
HATE_3051,Pichola gurinchi vinadame gane direct ga epudu e video lo chustuna ,non-hate,
HATE_3052,I vIDiyo vALLa lavar chUste vALLa lavar maiMD potuMdi,hate,
HATE_3053,Nani fans ante mamoluga undadhu mari super love you nani love you,non-hate,
HATE_3054,pUja hègDe kaMTe anchor sUpar uMdigA,non-hate,
HATE_3055,eM anukuMTunnAvu aMkArraganna uppu kAraM tiMTaleDu anukunnAvA,hate,
HATE_3056,Nenu aitey denkapota akkadnunchi,hate,
HATE_3057,Ami chasarante  uday kiran ni champaru vedi nepotism valla,hate,
HATE_3058,Mem vallani stars chesam Inka yem cheyali okka Pani cheye bro Nuve ne wife ki Pawan deggara ampi ne vatha aye potundi k na,hate,
HATE_3059,Mana  paristhithi yenty ante manam mo kudisipoina parvaledu manalo okadu mathram yedagakudadhu,hate,
HATE_3060,"Ikkada kontha mandi Paytm langas aduguthunna questions 
Mari vaalani stars chesamu ga 
Orey erripuvvu Lara Star chesthe Assembly Kelli bill pass cheyagalara  poni central gov nunchi nidhulu theppibchagalara 
Teacher vudyog ichi case lu isthamante chala daridranga vuntadi",hate,
HATE_3061,Orey black mamba ga vallani pedda stars ni chesam niyabba entha kulapichi vunntey ela matladathava,hate,
HATE_3062,Kulaaa pechhe fuuga undeanana,hate,
HATE_3063,Orey manam cinemalu chudabatte vallu luxury ga brathukunnaru ra,hate,
HATE_3064,"Nuv Amina chIa ra 
Buffalo",hate,
HATE_3065,Norumuyyura pavala,hate,
HATE_3066,paMdulu chestAyinuvvu lAvu taggu,hate,
HATE_3067,Appara babu ni kulagaji,hate,
HATE_3068,Meeru emi chestunnarusollu matalu tappa,hate,
HATE_3069,Pora pavala,hate,
HATE_3070,First puri gariki pattina shane nuvu raku thali rest thisko hayiga,hate,
HATE_3071,Raaakapoyina parledhu,hate,
HATE_3072,brek aMTe Fucking ke kAdA èMjAy,hate,
HATE_3073,pUrIni vadilesi paMjAb po ippaTikainA bAgupaDatAvu ledA plAp hIro to iMko sinimA chai saMkanAkipotAvu,hate,
HATE_3074,Chi pove,hate,
HATE_3075,Konni love stories lo love express cheyyataniki muddu pettukovalsina avasaram undadu,non-hate,
HATE_3076,Manchiga kurchoni adugu thammudu,non-hate,
HATE_3077,Love story muddulu kadu sannivesam site ranam lo scenes lo love chala baga chupicharu movie ,non-hate,
HATE_3078,Edi mana KVishwanadh garu eppudoo ennisarlooo chepparu,non-hate,
HATE_3079,Muddu scene avasaram emundi  Valla love kanipistundi ga,non-hate,
HATE_3080,Baga cheppadu,non-hate,
HATE_3081,mUvI mAmUlugA tIyaledu,non-hate,
HATE_3082,Acting super undhi ga bro just story lo dammu ledh,non-hate,
HATE_3083,E pichakuntla comments ndhk ra acting super chesadu director falt ani clear ga kanpistuntea,hate,
HATE_3084,Nuvu velli record chesava loveda,hate,
HATE_3085,bAhubali vinAyakuDu pèTTinappuDu noTlo eM pèTTukunnAru ,hate,
HATE_3086,Potaru potaru array,hate,
HATE_3087,Devudimida jokulu vesina avamanichina chala nasta potaru vinayakudito pettukokuda power full god,non-hate,
HATE_3088,I tòkkalo sèkyularijaM valle biyyaM DabbAllo dAkkuni chastAru tarvAta,hate,
HATE_3089,janaM kUDA mAripote  chAlA bAgunnu kadA,non-hate,
HATE_3090,Nibba reels cheyaku bro,hate,
HATE_3091,èkkaDa nuchi vòstAyi bro I Alochanalu,non-hate,
HATE_3092,Chala ante chala bagundi bro,non-hate,
HATE_3093,bro ni fututr inka machi position ki veltavu bro super ga editing bro,non-hate,
HATE_3094,Kindha Midha upu ma Prabhas anna thopu,non-hate,
HATE_3095,Aaa Voice lo unna rajasa yogame vere level Jai Prabhas Anna,non-hate,
HATE_3096,Over action aapu,hate,
HATE_3097,Na loveda Vikram eedu okka twothree cinemalu hit kagaaney Chiranjeevi kanna ekkuva feel ayithunnadu,hate,
HATE_3098,Mokkam paguludhie,hate,
HATE_3099,Chattha cinima ra babbu,hate,
HATE_3100,Edi over action,hate,
HATE_3101,Telugu vallu ante antha chulakanagaa undha a heroki,hate,
HATE_3102,hari hara vIra mallu  dasarA maMchi vijayAlu sAdhistAyi,non-hate,
HATE_3103,Nani anna movie marchukovali,non-hate,
HATE_3104,OM namo nArAyaNa,non-hate,
HATE_3105,OM namo namaH shrI veMkaTeshvara svAmi yo kaliyuga pratyakSha daivaM shrI tirumala shrIvAri pAdAla ku namaskAraMshrI  viShNu rUpAya namaH shIvAyA,non-hate,
HATE_3106,Ledhu daddy meere important ani Cinema loki vachestha,non-hate,
HATE_3107,Overaction tho jaanani confuse chestunnaru picchi na k,hate,
HATE_3108,Anchor be like pichi na kdklni andharu ikkade unnaru,hate,
HATE_3109,Anchor be like pichi na kdklni andharu ikkade unnaru,hate,
HATE_3110,Veelu vedi over action,hate,
HATE_3111,Arey sollu comedy apandraaaa,hate,
HATE_3112,Edhi yekkadi mass ra mama Jai Bandla Anna,non-hate,
HATE_3113,Bandla Ganesh thopu dammunte evadina apu,non-hate,
HATE_3114,Balayya devudu,non-hate,
HATE_3115,Eeee suma overaction rota ga undi,hate,
HATE_3116,Liger movie flop  avvAlani korukune vALLu òka like kòTTaMDi bro,hate,
HATE_3117,Punch veyyalantaySunil anna tharuvathayeeyavarina,non-hate,
HATE_3118,Punching falaknama tho easy kaadhu,non-hate,
HATE_3119,Madhi sommu ea kadha vochesthadhi,hate,
HATE_3120,Nilanti varu okkaru unna mana Desham baguntadi,non-hate,
HATE_3121,RGV taMDriki kaMDom vADuTa tèluvado leka appuDu kaMDom ledo aMduke i nA  puTTADu,hate,
HATE_3122,ilAMTi sAMgs iMkA iMkA kAvAli sUpar,non-hate,
HATE_3123,Arjun Reddy slang masthu undhi ,non-hate,
HATE_3124,Bagaa tension paduthunnavu akkaa,non-hate,
HATE_3125,Daniki mekaup mida una sradda abiruddi meda ledayi,hate,
HATE_3126,mATlADaDAniki vanukutunnavU bijèpi di eM pikutavu chèppu,hate,
HATE_3127,Liger movi bAguMdi ,non-hate,
HATE_3128,Ore teenmar mallanna pedda thopula feel kaku,hate,
HATE_3129,Orei ep nayala evadu pay chesindu neeku Politicians ankunda veela meedha paddav,hate,
HATE_3130,Miku cinemala gurinchi andhuku ra nuvvu pettukunna dhukanam anti matladey matter anti,hate,
HATE_3131,Aa reporter laffut gaaduaa girl correct ga ne cheppindhi first lo ne Amè chèppiMdi Virat Kohli ishtam ani l malli vaade cricket èvaraMTe iShTaM ani aDugutunnADu vADiki asalu knowledge undho ledo na doubt,hate,
HATE_3132,USA lo twozerozerocr value house etla konnav ra nuv evadi abba sommu,hate,
HATE_3133,Evaru vunauru akada super,non-hate,
HATE_3134,Yerripooka,hate,
HATE_3135,Education mukkyam kadu janalani chadinivanadu eerojuallo vadu goppavadu,non-hate,
HATE_3136,Yes mark lu kanna gnanam sampadhisthe life long panikivasthadhu,non-hate,
HATE_3137,E over action voddu ra,hate,
HATE_3138,I sinimA pramoT kosaM òka private jet lo kUDA èMjAy chesinaTTu òka vIDiyo uMdi,non-hate,
HATE_3139,Naa drustilo pspk garu Devudu,non-hate,
HATE_3140,Samantha ki exposing fame popularity medha una interest family medha ledu emo asal Bollywood lo act ey cheyanu south ante pranam ani interviews lo chepi epudu ah chetha industry ki importance isthundhi ey hero Mahesh Babu Ram Charan allu arjun vala wifes tho exposing vere vala tho chetha scenes cheynisthara andharau valu kalavali ane anukuntunaru gani ami Akshay Kumar ethukuna parledu evaru em chesina parledu anatu mindset adhi popularity anukunta amiki,hate,
HATE_3141,Andhariki rajamouli rgv inspiration emo naku meere inspirationwords can do more than actionmee laga knowledge gain cheyyali sir nenu,non-hate,
HATE_3142,Ur too intelligent sir me interviews anni chustanu yedho oka message istaru sir,non-hate,
HATE_3143,"Manaki  ibbandi ochinappudu koncham  sahinchatam
Kastam ochinappudu koncham bharinchadam
 Anandham vachinappudu koncham panchadam",non-hate,
HATE_3144,Moham lo choodu enta kala uttipadutundo,non-hate,
HATE_3145,Movie matram modda gudisi potadhiii pakkaa,hate,
HATE_3146,Bokka la vundi movie,hate,
HATE_3147,Hindi vallatho sanka nakipothav,hate,
HATE_3148,Anduke film dobbindii,hate,
HATE_3149,mIdi IsT godAvari jillA aMkuMTa rAjamauLi gAru,non-hate,
HATE_3150,"pyAkeji tIsukòni  bratikevADe 
pyAkejI  guriMchi mATADutunnAru",non-hate,
HATE_3151,Sathi nee comedy lo pasa ledhu,hate,
HATE_3152,Sati ni interviews chuse vallu ipudu evaru leri,hate,
HATE_3153,Satthi nee comedy irritation ga undi,hate,
HATE_3154,Satti erripuk irritating,hate,
HATE_3155,Nattu gaadu tappu maatladi vundachu Nuvvu peekindhi em ledhu Andaru nomination chesina vaadi valla vachesam antaaru Kaani votes vesedhi audience Idhem logic naaku artham kaaledhu Nuvvu Ashu limits cross chesi maatladaru house lo Adhe inko magadu mimmalni ante pativrathalla pose Em ladies raa swamy,hate,
HATE_3156,Sravanthi akka dont cry be strong V r fouru,non-hate,
HATE_3157,Waste gadu Natraj is very bad behaviour,hate,
HATE_3158,natraj chala bad behaviour,hate,
HATE_3159,ilAMTi kammani kaburlu chiraMjIvi gArU mAtrame chèppagalaru,non-hate,
HATE_3160,sUpar sAr chAlA saMtoShaM Ayana guriMchi mATlADinaMduku òka maMchi vyakti rAvu gopAl rAvu gAru,non-hate,
HATE_3161,annayya chèbutuMTe noru UripotunnAdi,non-hate,
HATE_3162,iMTlo vaMTalu vaMditè tèlustAyi ye vaMTalo eMTo anI ,non-hate,
HATE_3163,Nenu vunnanunenu vinnanunenu chusanu all are eligible for the Oscar level performance,non-hate,
HATE_3164,Mimmalni chustunte Allu ramalingayyagaru comidy chusinattu vundi malli,non-hate,
HATE_3165,Hahaha papam aravind garu rathri nidra lo kuda tieup antey bayam vachetatlu undi,non-hate,
HATE_3166,Maa allu aravind gari comedy super allu sir plz meeru movies loo act cheyandi,non-hate,
HATE_3167,Allu aravind garilo manchi actor vunnaru hilarious,non-hate,
HATE_3168,Chachipothe pedakaram poyedhiga andhuku bathikavra,hate,
HATE_3169,Mulapeta lo two years chadhukuna,non-hate,
HATE_3170,e janmalo eM pApaM chesArochiraMjIvi gAru ilAMTi vAriki janmanichchAru,hate,
HATE_3171,èvari kòMDamuchchu mòhAlu ,hate,
HATE_3172,chI pho mègA phyAmalIki pAruv tIyaDAniki puTav ani nA abhiprAyaM,hate,
HATE_3173,Magadiki aada vesham vesinattundhi Srija Aa maathranike pelli meedha pelli siggundali,hate,
HATE_3174,dhobbey dhobbey antunnav enti Chiraku dhobbinchadam baga alavatu anukunta Neeku,hate,
HATE_3175,ilAMTi vIDiyos pèTTi mA paruvu tIyakaMDi,hate,
HATE_3176,Pillala gurinchi alochinchi husband tho kaliste andariki baguntundi pls take care,non-hate,
HATE_3177,vALlU èlA uMTe manaku èMduku vALLa sòMtavishAyalu,non-hate,
HATE_3178,Kothaga ee dharidram  Inka vellu start chesaru,hate,
HATE_3179,ChI ChInAku chachchi povalanipistuMdi,hate,
HATE_3180,NTR anna la acting cheyleantey enko  janma ettale evarinaa Jai NTR anna,non-hate,
HATE_3181,Dheni bhaga  deangali  rojani,hate,
HATE_3182,Abbabba em reply echadu boss supper,non-hate,
HATE_3183,tulasi mòkka sAr pavan kaLyAN gAru,non-hate,
HATE_3184,vèMkI mAma phyAns jai vèMkI mAma,non-hate,
HATE_3185,Bokka spritual ela champukkunnte years baby,hate,
HATE_3186,ikkaDa kAmèDI èkkaDa uMdi rA bAbu mI over action mIru,hate,
HATE_3187,Washing powder NIRMA neevu maa mukyamantri awadam maa KARRMA,hate,
HATE_3188,mAmaèppuDU gun rèDhI gA uMchutADu,non-hate,
HATE_3189,Oka family motham industry akramincheste prati okkaru ilage matladali tappadu,non-hate,
HATE_3190,Re endukura overacting thengutunnav,hate,
HATE_3191,Cheppindi chalu denge bokka,hate,
HATE_3192,Ee yadava monna balayya nu kuda alage annadu,hate,
HATE_3193,A gundey Brathakali Bro,non-hate,
HATE_3194,manoDu vèMkI  byAch JOB PAKKA,non-hate,
HATE_3195,Meku kuda manchi bavisath unntadi,non-hate,
HATE_3196,vADu chadavaledu ani arthaM avutuMdi,non-hate,
HATE_3197,Atluntadhi mannolathini,non-hate,
HATE_3198,Chillara bokugallu,hate,
HATE_3199,Nijanga ilanti extraordinary persons untaru ,non-hate,
HATE_3200,Nijamga ala ante principal urukuntadantava bhayya,non-hate,
HATE_3201,Ma principal ni antha mata ante internals lo fasak ,non-hate,
HATE_3202,Nuvvu nee fake muchatlu,hate,
HATE_3203,Vinevallu verrypappalithe edina cheptharynammandi nammandi,hate,
HATE_3204,Ahh bongule,hate,
HATE_3205,Erripuk gallu meru,hate,
HATE_3206,Pedda sollugaadu,hate,
HATE_3207,Nijamga aadu annadaveedu kurchoni sollu dhobbuthunnadu,hate,
HATE_3208,Brahmini name yenduku raaOrey tingaroda as amai paruvu teestunavu,hate,
HATE_3209,vIDiki èkkaDa e mATlADAlo tèliste I pATiki èmmèlye ayyevADu pApaM brAhmaNi vIDini èlA bharistuMdo eMTo,hate,
HATE_3210,Emana common sense unda ra lokesh nikuaa video ki ni wife name mention cheyadamfirst tym anpinchindi nuv nijam ga pappu anim,hate,
HATE_3211,Alaanti goppollaki ilaanti goppolle pudatharu,non-hate,
HATE_3212,Meeru ala antunte Goosebumps vastunay sir,non-hate,
HATE_3213,Malli thintanu antadu chusava adhi comedy,non-hate,
HATE_3214,Jaffa mega family,hate,
HATE_3215,Uvvvvvvvvvvvvv  joke bagundi pulka,hate,
HATE_3216,Meru eppudu Telugu lone matlada Tharu ,non-hate,
HATE_3217,Anna boss mega star RC onefive ki dance ki andariki punakam ravalla anna,non-hate,
HATE_3218,jAnI meTar chAlA sUpar gA ichchAru gAD blèss yu,non-hate,
HATE_3219,Shekhar gadu endi na ninnu pilchedi,hate,
HATE_3220,Anna nv thopu neki sati yevaru leru,non-hate,
HATE_3221,maMchi Ansar ichchAru bro,non-hate,
HATE_3222,Chala smart anna nvupuri sir koduku anioinchukunnav,non-hate,
HATE_3223,super cover drive puri babu,non-hate,
HATE_3224,mègA phyAmilI  aMTe nAku chAlA iShTaM  aMdulo  mA bAs  chiraMjIvi  gAru,non-hate,
HATE_3225,Yadava Veshalu taginchukunte Baguntadi,hate,
HATE_3226,Gudda balisindara aadiga balayya fans ikkada,hate,
HATE_3227,Vediki Gudda baga balisindi anukuntaBalayya babu meeda jokes endukura ep,hate,
HATE_3228,Ne dramalu ayana daggariki velli chey muthipallu ralakodatadu,hate,
HATE_3229,Chempa pagilddemo,hate,
HATE_3230,Are Babu niku endukura,hate,
HATE_3231,Adi gadu bathroom velli vachi kadukkuntunadu,hate,
HATE_3232,Dance show erripuku chesesaru kadhara comedy zabardast lo cheyandi d lo dance cheyandi erripuku director erripuku editing,hate,
HATE_3233,I miss your peraDI sAMgs in jabarthast andi,non-hate,
HATE_3234,Xlent meeku meere saativery ,non-hate,
HATE_3235,ippuDu Iyana aMdarikI TrAphik signals guriMchi chAlA chakkagA pATaM chèppagaladu èMdukaMTe gòppa guNapAThaM ni kaLLArA vIkShiMchAru kAbaTTi,non-hate,
HATE_3236,AshcharyaM eMTaMTe chAlAmaMdi TrAk krAs chesi vachchesArubahushA ippaTikayinA akkaDòka geT uMDAlanidAnni akkaDi vAraMdarU pATiMchAlani korukuMdAM,non-hate,
HATE_3237,In direct reshmi ke kiss aadiga du sudheer bhaiyya,non-hate,
HATE_3238,Manu garu meru involve avvakandi chala chiraku ga vuntundhi,hate,
HATE_3239,tammuDu raShmI kUDA nI pATa ku prANaM posiMdi,non-hate,
HATE_3240,Annaiah Ani sarlu vinna vinnali anipistundi annaiah ni songs,non-hate,
HATE_3241,Nv enjoy chestu bale padavu,non-hate,
HATE_3242,Enti bhaya ala shock ichav ammaikudu la unde vadivi,non-hate,
HATE_3243,Trolls chese vallaki pandage e video tho,non-hate,
HATE_3244,Ma sudheer anna ekkadunte akkade navvulu,non-hate,
HATE_3245,Late iena parlaydhu movie mamuluga vundakudadhu movie,non-hate,
HATE_3246,Mangli enni songs padi peruthechukundho valla sister ee okka song tho antha Peruthechukundhi you success continue like this sister,non-hate,
HATE_3247,Vedoka pulkagadu vinikanna Prakash Raj better,hate,
HATE_3248,rameSh mAsTar DyAns prAkTIs sUpar idI paddati,non-hate,
HATE_3249,Yevaru e mogudu vadilesina pativratha  ,hate,
HATE_3250,nI batuku eMTi nuvvu eM panulu chestAv,hate,
HATE_3251,Ni batuku yente,hate,
HATE_3252,Veedi maatalaku yentha mandi kodathaaru veeni,hate,
HATE_3253,Karma ra Swami,hate,
HATE_3254,Naaku okasari pisakalani undi APsommullu tinitelangana lo pisikinchukuntunnaru,hate,
HATE_3255,Chi yentra makikarma,hate,
HATE_3256,Moddakuduv,hate,
HATE_3257,Apande ra me ranku veshalu me kullu comedy,hate,
HATE_3258,"Mee chatha face llu 
Mee kullu comedy tu",hate,
HATE_3259,Chachi urukuntavanni thaguthe,hate,
HATE_3260,iMDiyan maikel jAksan prabhudevA gAru,non-hate,
HATE_3261,Telugu tamil industry la ki break dance nerpindhe prabhudevameru evergreen dancer sir,non-hate,
HATE_3262,Idhi dance ante super anna nee daggara evaraina sariporu mee vantilo undhi,non-hate,
HATE_3263,Hema kuturu chala chala baguntadi chala suma show lo chusanu,non-hate,
HATE_3264,Panikimalina,hate,
HATE_3265,Deeniki doolekkuva kovvu baga patti unnadi,hate,
HATE_3266,Ranku mundalu meru antha,hate,
HATE_3267,bòMgeM kAdu nuvvu iMTiki vèLli chUDu nIke tèlustadi,hate,
HATE_3268,Pakkode meda pade edvadam tappa inkem radhu vedeki,hate,
HATE_3269,Veedu aadi gaadu maaradu veediki stage cleaning pani ivvandi,hate,
HATE_3270,Aree aadi entra ni balupu Koncam siggu emaina unda,hate,
HATE_3271,Arey cheppu tho kodatha,hate,
HATE_3272,Nee video chusanu bagundi vishnu,non-hate,
HATE_3273,Kallu dengaya broo,hate,
HATE_3274,Pulihora raja gadu appudu choosina ladies tho pulihora kaluputhu untadi niku vere pani leda  anni overaction video lu chestadu ,hate,
HATE_3275,Ekkuva seyaku inka chalu,hate,
HATE_3276,Kama kukka,hate,
HATE_3277,Audience be like  Bengu  Athi bengaku,hate,
HATE_3278,Charan cute cute expressins  chala bagunnadu,non-hate,
HATE_3279,Migataa pannendu gantalu bathrooms clean cheskuntavara dyper aadhi,hate,
HATE_3280,Eetv lekapote adukku tine vallu,hate,
HATE_3281,"Ari pulka family chusi videos aa evi
Control words",hate,
HATE_3282,Nag garu chaitanya so beautiful  chAlA bAgunnAru mA abhimAna hIrolu,non-hate,
HATE_3283,Gunturodi yetakaram ante itlane untadi mari ,non-hate,
HATE_3284,aTluMTadi mA prabhAs anna toTi kèvvu keka aMte,non-hate,
HATE_3285,Ok Andi Mari vallu sampadinchukovadanike ga vallu hero avadanike ga  maku three or four avutundi office nundi camp nundi ravadaniki  adi ma family kosam andaru ante javan lanti valla to manakenti polika,non-hate,
HATE_3286,èvaru IviDa òka phul kòTTi vachchinaTlu uMdi,hate,
HATE_3287,Akka niku ekkuva inda endimata sariga ratle,hate,
HATE_3288,Meeru moosukunte baguntadi,hate,
HATE_3289,Guvva Balupu bagundhe niku,hate,
HATE_3290,Super cute joDI God bless yU,non-hate,
HATE_3291,So much transformation in shrImukhi  Very good anchoring,non-hate,
HATE_3292,Chala manchi singer  but win avvaladu but he will reach his success,non-hate,
HATE_3293,Deeni over ackshan ekkuva aiendi Chitra gari voice kanty emi baga lydu avidaaa chala paddathi ga untaru,hate,
HATE_3294,"Dabulu iste adi padindi
Dabulu iste villu act chesaru
Lavadaga laga undi set kaledu",hate,
HATE_3295,E bogada aadi gadu unte show sanka nakinatte,hate,
HATE_3296,Amma pai joke enty raaa Avulagallraa,hate,
